"project_id","camera_id","camera_name","make","model","serial_number","year_purchased"
2003269,2018893,"C386","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019024,"C231","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019244,"C136","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046070,"C407a","","",NA,NA
2003269,2019166,"C058","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046251,"C101b","","",NA,NA
2003269,2019103,"C191","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041110,"C369a","","",NA,NA
2003269,2046350,"C097a","","",NA,NA
2003269,2019142,"C034","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046346,"C148a","","",NA,NA
2003269,2046047,"C248a","","",NA,NA
2003269,2046014,"C272a","","",NA,NA
2003269,2040844,"C119a","","",NA,NA
2003269,2046178,"C042a","","",NA,NA
2003269,2019208,"C100","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018872,"C284","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041122,"C103a","","",NA,NA
2003269,2019213,"C105","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046337,"C392b","","",NA,NA
2003269,2046046,"C260a","","",NA,NA
2003269,2019212,"C104","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046170,"C264a","","",NA,NA
2003269,2046061,"C252a","","",NA,NA
2003269,2044910,"C064a","","",NA,NA
2003269,2038894,"C406","Browning ","Strike Force BTC-6HDX",NA,NA
2003269,2041009,"C386a","","",NA,NA
2003269,2019210,"C102","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018943,"C335","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044831,"C137a","","",NA,NA
2003269,2043584,"C310a","","",NA,NA
2003269,2046366,"C127a","","",NA,NA
2003269,2046356,"C053a","","",NA,NA
2003269,2044843,"C173a","","",NA,NA
2003269,2046033,"C267a","","",NA,NA
2003269,2045724,"C391b","","",NA,NA
2003269,2046375,"C161a","","",NA,NA
2003269,2046338,"C110b","","",NA,NA
2003269,2045938,"C261a","","",NA,NA
2003269,2040845,"C354a","","",NA,NA
2003269,2019236,"C128","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018951,"C327","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019149,"C041","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019029,"C226","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046043,"C221a","","",NA,NA
2003269,2019101,"C193","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046317,"C114b","","",NA,NA
2003269,2045922,"C045b","","",NA,NA
2003269,2019080,"C214","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046287,"C387b","","",NA,NA
2003269,2019126,"C018","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2038889,"C401","Browning ","Strike Force BTC-5HDX",NA,NA
2003269,2019111,"C003","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2054683,"C422","","",NA,NA
2003269,2046371,"C166a","","",NA,NA
2003269,2044683,"C180a","","",NA,NA
2003269,2041126,"C345a","","",NA,NA
2003269,2046379,"C032a","","",NA,NA
2003269,2044842,"C048a","","",NA,NA
2003269,2045919,"C400b","","",NA,NA
2003269,2041106,"C397a","","",NA,NA
2003269,2018966,"C312","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046354,"C358b","","",NA,NA
2003269,2019026,"C229","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018963,"C315","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046387,"C313a","","",NA,NA
2003269,2046348,"C052a","","",NA,NA
2003269,2019220,"C112","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2070152,"C425","","",NA,NA
2003269,2019006,"C249","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019023,"C232","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046049,"C326a","","",NA,NA
2003269,2018886,"C270","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046398,"C346b","","",NA,NA
2003269,2019246,"C138","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019175,"C067","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041005,"C372a","","",NA,NA
2003269,2018939,"C339","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019240,"C132","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019258,"C150","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2040817,"C289a","","",NA,NA
2003269,2046361,"C074a","","",NA,NA
2003269,2045904,"C373b","","",NA,NA
2003269,2018907,"C371","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019170,"C062","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2045960,"C208a","","",NA,NA
2003269,2019001,"C254","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019209,"C101","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018956,"C322","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2040949,"C102a","","",NA,NA
2003269,2019152,"C044","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041113,"C387a","","",NA,NA
2003269,2046377,"C160a","","",NA,NA
2003269,2018983,"C295","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018994,"C261","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018906,"C372","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2069874,"C428","","",NA,NA
2003269,2040953,"C391a","","",NA,NA
2003269,2019099,"C195","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2070085,"C426","","",NA,NA
2003269,2019119,"C011","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046188,"C308b","","",NA,NA
2003269,2019037,"C218","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018866,"C391","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2038890,"C402","Browning ","Strike Force BTC-6HDX",NA,NA
2003269,2019014,"C241","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2038891,"C403","Browning ","Strike Force BTC-6HDX",NA,NA
2003269,2019004,"C251","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2039381,"C287a","","",NA,NA
2003269,2019162,"C054","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046037,"C190a","","",NA,NA
2003269,2019292,"C184","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2040946,"C142a","","",NA,NA
2003269,2019248,"C140","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046246,"C370b","","",NA,NA
2003269,2019097,"C196","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044707,"C174a","","",NA,NA
2003269,2019199,"C091","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018920,"C358","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2040819,"C288a","","",NA,NA
2003269,2039373,"C363a","","",NA,NA
2003269,2039372,"C332a","","",NA,NA
2003269,2046378,"C199a","","",NA,NA
2003269,2046370,"C135a","","",NA,NA
2003269,2019184,"C076","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018993,"C262","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018986,"C292","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019019,"C236","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019090,"C204","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019238,"C130","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019201,"C093","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044869,"C181a","","",NA,NA
2003269,2018885,"C271","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019159,"C051","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044857,"C377b","","",NA,NA
2003269,2046160,"C268a","","",NA,NA
2003269,2019016,"C239","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046241,"C385a","","",NA,NA
2003269,2018962,"C316","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018917,"C361","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019235,"C127","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046259,"C088a","","",NA,NA
2003269,2046034,"C267a","","",NA,NA
2003269,2046041,"C207a","","",NA,NA
2003269,2019102,"C192","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2054824,"C424","","",NA,NA
2003269,2019254,"C146","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046053,"C057a","","",NA,NA
2003269,2054826,"C418","","",NA,NA
2003269,2054772,"C417","","",NA,NA
2003269,2019183,"C075","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019233,"C125","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041130,"C382b","","",NA,NA
2003269,2019204,"C096","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019249,"C141","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019022,"C233","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2045928,"C113b","","",NA,NA
2003269,2019092,"C202","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019038,"C217","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041007,"C373a","","",NA,NA
2003269,2018871,"C285","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2042486,"C329a","","",NA,NA
2003269,2018896,"C383","","Browning Strike Force BTC-5HDXv",NA,NA
